feature_id,feature_name,feature_group,feature_subtype,source_columns,business_meaning,creation_status,used_by_machine_learning,used_by_inference,used_by_optimization,used_by_grey_models,requires_training_fit,implementation_module,priority,analyst_decision,repository_status
FEAT-014,income_age_interaction,Statistical,Interaction,median_income | housing_median_age,Tests whether the relationship between income and the response varies with housing age.,HYPOTHESIS CANDIDATE,True,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-015,income_ocean_proximity_interaction,Statistical,Interaction,median_income | ocean_proximity,Allows the income relationship to differ across location categories.,HYPOTHESIS CANDIDATE,True,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-016,longitude_latitude_interaction,Statistical,Interaction,longitude | latitude,Joint geographic effect.,HYPOTHESIS CANDIDATE,True,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-017,median_income_squared,Statistical,Polynomial term,median_income,Allows the marginal relationship of median_income to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-018,population_squared,Statistical,Polynomial term,population,Allows the marginal relationship of population to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-019,total_bedrooms_squared,Statistical,Polynomial term,total_bedrooms,Allows the marginal relationship of total_bedrooms to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-020,total_rooms_squared,Statistical,Polynomial term,total_rooms,Allows the marginal relationship of total_rooms to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-021,one_hot_categorical_predictors,Machine Learning,Categorical encoding,ocean_proximity,Represents categorical differences without imposing numerical ordering.,MANDATORY FOR ML PIPELINE,True,False,False,False,True,ml_features.py,HIGH,APPROVE FOR ML,PLANNED
FEAT-022,standardized_numeric_predictors,Machine Learning,Scaling,longitude | latitude | housing_median_age | total_rooms | total_bedrooms | population | households | median_income,Places numerical predictors on comparable scales.,MANDATORY FOR SGD PIPELINE,True,False,False,False,True,ml_features.py,HIGH,APPROVE FOR ML,PLANNED
FEAT-023,polynomial_feature_expansion,Machine Learning,Polynomial representation,longitude | latitude | housing_median_age | total_rooms | total_bedrooms | population | households | median_income,Flexible predictive representation of curvature and interactions.,OPTIONAL VALIDATION CANDIDATE,True,False,False,False,True,ml_features.py,LOW,DEFER UNTIL BASELINE VALIDATION,PLANNED
FEAT-024,spline_basis_for_prediction,Machine Learning,Spline representation,longitude | latitude | housing_median_age | total_rooms | total_bedrooms | population | households | median_income,Flexible smooth predictive relationships.,OPTIONAL VALIDATION CANDIDATE,True,False,False,False,True,ml_features.py,LOW,DEFER UNTIL BASELINE VALIDATION,PLANNED
FEAT-025,orthogonal_polynomial_terms,Inferential,Orthogonal polynomial,longitude | latitude | housing_median_age | total_rooms | total_bedrooms | population | households | median_income,Represents curvature while reducing collinearity among polynomial terms.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,True,inference_features.py,LOW,DEFER UNTIL OLS SPECIFICATION TEST,PLANNED
FEAT-026,centered_numeric_predictors,Inferential,Centering,longitude | latitude | housing_median_age | total_rooms | total_bedrooms | population | households | median_income,Makes the intercept and interaction terms more interpretable.,OPTIONAL INFERENTIAL CANDIDATE,False,True,False,False,True,inference_features.py,MEDIUM,USE WHEN POLYNOMIAL OR INTERACTION TERMS ENTER,PLANNED
FEAT-027,interpretable_spline_basis,Inferential,Spline basis,longitude | latitude | median_income,Captures smooth nonlinear relationships while preserving interpretable effect plots.,GAM / SPLINE CANDIDATE,False,True,False,False,True,inference_features.py,MEDIUM,DEFER UNTIL LINEAR AND POLYNOMIAL ASSESSMENT,PLANNED
